step	train_loss	train_acc	test_loss	test_acc
0	0.18376707768051842	0.9414773	0.005211361563851824	1.0
1	0.004567125068140079	0.9982954	0.001953973398675165	1.0
2	0.008120181118945104	0.9982954	0.00103650455159728	1.0
3	0.004237981782530782	0.9982954	0.00716718605508504	0.9947917
4	0.009718026911534915	0.99715906	0.0005667622646872891	1.0
5	0.0007189850863472781	1.0	0.00016337556301711706	1.0
6	0.00018643632988228504	1.0	4.4897357366642986e-05	1.0
7	3.73573334234772e-05	1.0	2.4341504570350263e-05	1.0
8	2.278437141349989e-05	1.0	1.8377168599018983e-05	1.0
9	1.8585120721261525e-05	1.0	1.0171936138429297e-05	1.0
10	1.555203519697815e-05	1.0	1.0038432556314092e-05	1.0
11	1.092124222807911e-05	1.0	7.594046768829206e-06	1.0
12	9.415480843118344e-06	1.0	6.9586204961558096e-06	1.0
13	8.539130340940398e-06	1.0	5.690301728182116e-06	1.0
14	6.682500621996662e-06	1.0	4.6218306947546734e-06	1.0
15	7.145655767731346e-06	1.0	4.035317766419115e-06	1.0
16	5.590671933478316e-06	1.0	2.835159329694914e-06	1.0
17	5.047002182126645e-06	1.0	3.818564806865969e-06	1.0
18	4.417455419285106e-06	1.0	3.5761134788980797e-06	1.0
19	4.520184801336636e-06	1.0	2.0090552218336257e-06	1.0
20	3.723333990812705e-06	1.0	2.40475017419343e-06	1.0
21	2.851263545363994e-06	1.0	2.2602294344522176e-06	1.0
22	3.2104887449464897e-06	1.0	1.6372756273808076e-06	1.0
23	2.4846371950185384e-06	1.0	1.7435405976762297e-06	1.0
24	2.513093878420136e-06	1.0	1.6814773048379195e-06	1.0
25	2.8072923529556056e-06	1.0	1.5133455338600665e-06	1.0
26	2.077423131757234e-06	1.0	1.220538852828949e-06	1.0
27	1.6018510082492877e-06	1.0	1.5010053977249083e-06	1.0
28	1.636176839767891e-06	1.0	1.2507375094690982e-06	1.0
29	1.738734730658755e-06	1.0	1.019880620067859e-06	1.0
30	1.4858348695493104e-06	1.0	1.1476472899415076e-06	1.0
31	1.6220071605197653e-06	1.0	1.0467200332227773e-06	1.0
32	1.386715958086946e-06	1.0	6.667113367197127e-07	1.0
33	1.3854512498457827e-06	1.0	1.3179024068952587e-06	1.0
34	1.1856327842982044e-06	1.0	9.494450955045234e-07	1.0
35	1.091314916035202e-06	1.0	8.001631292137157e-07	1.0
36	1.300400381089937e-06	1.0	7.709978332992584e-07	1.0
37	9.010145436295535e-07	1.0	1.0124269919064195e-06	1.0
38	9.579315370186495e-07	1.0	1.9858889226676e-06	1.0
39	9.79895940809363e-07	1.0	4.443002936810325e-07	1.0
40	7.992771613532764e-07	1.0	6.758506761184169e-07	1.0
41	9.81846762858719e-07	1.0	6.057958915166306e-07	1.0
42	6.523882097814687e-07	1.0	4.210999402902889e-07	1.0
43	7.444473550015247e-07	1.0	4.083530206755448e-07	1.0
44	6.167262747199102e-07	1.0	3.9031947820257023e-07	1.0
45	6.860310481875005e-07	1.0	4.4055695279376916e-07	1.0
46	6.571051155000098e-07	1.0	5.286710101995903e-07	1.0
47	4.917876411073248e-07	1.0	3.506751178108484e-07	1.0
48	5.022530684684057e-07	1.0	5.143085698560793e-07	1.0
49	5.365997397775081e-07	1.0	2.3704864394897643e-07	1.0
